Account,Total_PnL,Avg_PnL,Trade_Count,PnL_Volatility,Total_Volume,Avg_Sentiment,Win_Rate,Sharpe_Ratio
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,419.1278,3818,4692.4523,61697263.97,53.7541,0.3596123624934521,0.08931956537949251
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.3205,6.5777,7280,134.0735,12035487.66,52.2135,0.4427197802197802,0.04906040343542908
0x271b280974205ca63b716753467d5a371de622ab,-70436.1913,-18.492,3809,542.1827,33873440.42,39.4096,0.3019165135206091,-0.034106584367225294
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.8146,9.9515,13311,113.2694,6757022.1,68.7743,0.43858462925400044,0.08785691457710555
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.005,52.071,3239,255.8291,10166880.2,61.6675,0.5199135535659154,0.2035382214142175
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.6,-38.2866,815,558.7788,1409902.0,43.7975,0.45521472392638035,-0.06851834751067863
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.9193,4.0281,3589,730.4955,17193375.42,30.9262,0.32766787405962666,0.005514202346215686
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.2472,161.1333,332,1279.8558,1143896.46,65.8855,0.4759036144578313,0.1258995739988833
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.5927,520.9023,383,2228.3361,1987527.61,53.3943,0.2349869451697128,0.23376289600119118
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.8723,336.7355,1237,1649.4976,2966109.22,53.8989,0.48423605497170574,0.204144280052302
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.7162,12.131,8519,88.2928,4408828.9,65.9548,0.35344524005164923,0.1373951216860265
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.0506,155.5893,4356,855.354,39572949.25,42.3673,0.48622589531680444,0.18190047629402564
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.8697,40.7405,7584,656.6936,129672529.28,60.4726,0.3603639240506329,0.06203882602175505
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.5552,68.6844,12236,639.4024,420876556.36,45.9835,0.40119320039228507,0.1074196781244487
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.2168,111.5192,975,468.996,728057.51,50.0123,0.4317948717948718,0.2377828382331619
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.5659,270.0349,1590,2525.2404,11474500.92,45.8264,0.34591194968553457,0.10693433385589743
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.51,253.1879,1424,1494.128,2962475.47,50.033,0.30337078651685395,0.16945529432551965
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.4067,38.3196,9893,172.5208,25729497.24,62.9449,0.8108763772364298,0.22211582603373042
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443,9.5577,1559,72.5612,5844484.45,27.764,0.45221295702373315,0.13171915569202275
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.1248,-36.4315,4601,1647.779,10143758.13,50.0567,0.38274288198217776,-0.022109457639647064
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.6579,34.2824,1911,325.7556,11999173.37,53.0256,0.33019361590790164,0.1052396336394524
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.009,2.9282,14998,68.613,12304786.84,64.2064,0.26196826243499133,0.04267704370891814
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.9421,41.4741,3052,220.3877,10992355.74,70.5439,0.2853866317169069,0.18818699954670792
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.8753,6.8121,15605,68.2349,19868207.98,59.1475,0.3457866068567767,0.09983307662208049
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.4843,174.6918,417,976.0688,861809.4,70.9832,0.5731414868105515,0.17897488373770373
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.6195,120.5073,563,474.8098,1677425.72,56.5169,0.40852575488454707,0.25380120629355163
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.8318,40.7469,534,288.2661,4448323.26,35.0993,0.32209737827715357,0.1413516885960576
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.5977,145.4817,14733,1374.0264,56543565.23,54.6109,0.3371343243059798,0.10587984335672153
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.5008,4.6483,4838,332.0834,108877041.1,28.2001,0.4386109962794543,0.013997387403284838
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.8062,44.3641,21192,567.7628,68036340.24,32.0801,0.46758210645526616,0.07813844091229648
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.0619,83.4983,2641,1530.525,20737391.71,44.0825,0.32752745172283226,0.05455533232060894
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.5531,20.8063,40184,264.1239,74107810.44,47.9315,0.428230141349791,0.07877477199147824
